"","Var1","Freq"
"2","Air Canada",127
"3","Air Canada Vacations",143
"4","Air China",2
"5","Air India",1
"6","American Airlines",4
"7","British Airways",6
"8","Cathay Pacific",12
"9","Expedia",487
"10","FlightCentre",48
"11","iTravel 2000.com",25
"12","Other (enter name)",61
"13","Porter",7
"14","SunWing",139
"15","TripCentral.ca",24
"16","WestJet",134
"17","WestJet Vacations",204
